Index,title,artist,image,rank,year
2959,11-Jul,Beyonce,https://charts-static.billboard.com/img/2002/06/beyonce-0na-53x53.jpg,61,2015
2960,The Heart Wants What It Wants,Selena Gomez,https://charts-static.billboard.com/img/2014/11/selena-gomez-nxt-the-heart-wants-what-it-wants-6dx-53x53.jpg,62,2015
2961,Girl Crush,Little Big Town,https://charts-static.billboard.com/img/2017/03/little-big-town-53x53.jpg,63,2015
2962,Slow Motion,Trey Songz,https://charts-static.billboard.com/img/2015/02/trey-songz-kc8-53x53.jpg,64,2015
2963,Drag Me Down,One Direction,https://charts-static.billboard.com/img/2015/08/one-direction-7ru-53x53.jpg,65,2015
2964,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,https://charts-static.billboard.com/img/2015/01/nicki-minaj-dc2-truffle-butter-7se-53x53.jpg,66,2015
2965,One Last Time,Ariana Grande,https://charts-static.billboard.com/img/2014/09/ariana-grande-nxo-one-last-time-ivq-53x53.jpg,67,2015
2966,Chains,Nick Jonas,https://charts-static.billboard.com/img/2014/08/nick-jonas-zlp-53x53.jpg,68,2015
2967,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-53x53.jpg,69,2015
2968,No Type,Rae Sremmurd,https://charts-static.billboard.com/img/2014/09/rae-sremmurd-f07-53x53.jpg,70,2015
2969,Riptide,Vance Joy,https://charts-static.billboard.com/img/2013/12/vance-joy-buo-53x53.jpg,71,2015
2970,Classic Man,Jidenna Featuring Roman GianArthur,https://charts-static.billboard.com/img/2015/03/jidenna-fww-53x53.jpg,72,2015
2971,Ex's & Oh's,Elle King,https://charts-static.billboard.com/img/2014/11/elle-king-7fl-53x53.jpg,73,2015
2972,Dear Future Husband,Meghan Trainor,https://charts-static.billboard.com/img/2014/09/meghan-trainor-vgn-53x53.jpg,74,2015
2973,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,https://charts-static.billboard.com/img/2015/04/charlie-puth-ge7-53x53.jpg,75,2015
2974,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,https://charts-static.billboard.com/img/2015/01/meghan-trainor-oaq-like-im-gonna-lose-you-fig-53x53.jpg,76,2015
2975,Habits (Stay High),Tove Lo,https://charts-static.billboard.com/img/2014/04/tove-lo-vxl-53x53.jpg,77,2015
2976,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,https://charts-static.billboard.com/img/2014/12/james-newton-howard-11g-53x53.jpg,78,2015
2977,CoCo,O.T. Genasis,https://charts-static.billboard.com/img/2014/11/ot-genasis-206-53x53.jpg,79,2015
2978,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",https://charts-static.billboard.com/img/2014/08/jessie-j-zrp-53x53.jpg,80,2015
2979,Lay Me Down,Sam Smith,https://charts-static.billboard.com/img/2012/11/sam-smith-ik0-53x53.jpg,81,2015
2980,Tuesday,I LOVE MAKONNEN Featuring Drake,https://charts-static.billboard.com/img/2014/09/i-love-makonnen-sw9-53x53.jpg,82,2015
2981,Hit The Quan,iLoveMemphis,https://charts-static.billboard.com/img/2015/08/ilovememphis-pku-53x53.jpg,83,2015
2982,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",https://charts-static.billboard.com/img/2015/09/macklemore-ryan-lewis-th1-53x53.jpg,84,2015
2983,House Party,Sam Hunt,https://charts-static.billboard.com/img/2014/08/sam-hunt-2mf-53x53.jpg,85,2015
2984,Ayo,Chris Brown & Tyga,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg,86,2015
2985,Kick The Dust Up,Luke Bryan,https://charts-static.billboard.com/img/2015/05/luke-bryan-qhx-kick-the-dust-up-v2l-53x53.jpg,87,2015
2986,Blessings,Big Sean Featuring Drake,https://charts-static.billboard.com/img/2011/01/big-sean-lrg-53x53.jpg,88,2015
2987,Budapest,George Ezra,https://charts-static.billboard.com/img/2014/08/george-ezra-g00-53x53.jpg,89,2015
2988,Chandelier,Sia,https://charts-static.billboard.com/img/2014/05/sia-kfh-53x53.jpg,90,2015
2989,Heartbeat Song,Kelly Clarkson,https://charts-static.billboard.com/img/2015/01/kelly-clarkson-tcv-53x53.jpg,91,2015
2990,Don't,Ed Sheeran,https://charts-static.billboard.com/img/2011/07/ed-sheeran-3vg-87x87.jpg,92,2015
2991,Ghost,Ella Henderson,https://charts-static.billboard.com/img/2014/08/ella-henderson-0yy-53x53.jpg,93,2015
2992,Here,Alessia Cara,https://charts-static.billboard.com/img/2015/06/alessia-cara-9x8-53x53.jpg,94,2015
2993,Waves,Mr. Probz,https://charts-static.billboard.com/img/2014/05/mr-probz-ul5-53x53.jpg,95,2015
2994,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,https://charts-static.billboard.com/img/2017/07/nicky-jam-53x53.jpg,96,2015
2995,She Knows,Ne-Yo Featuring Juicy J,https://charts-static.billboard.com/img/2014/10/ne-yo-9u2-53x53.jpg,97,2015
2996,Night Changes,One Direction,https://charts-static.billboard.com/img/2011/09/one-direction-rlp-53x53.jpg,98,2015
2997,Back To Back,Drake,https://charts-static.billboard.com/img/2009/04/drake-p3d-53x53.jpg,99,2015
2998,How Deep Is Your Love,Calvin Harris & Disciples,https://charts-static.billboard.com/img/2015/08/calvin-harris-s9n-53x53.jpg,100,2015
